name,area_name,salary_from,salary_to,salary_currency,published_at,employer_name,requirement,schedule_id,working_hours_id,work_schedule_by_days,professional_roles,experience_name,employment_id
Senior Frontend Developer,Алматы,,,,2024-12-17T10:46:05+0300,Grand era,REST. CSS3. Bootstrap / Antd. AJAX.,fullDay,HOURS_8,5/2,"Программист, разработчик",От 1 года до 3 лет,full
Web-программист - стажер,Алматы,,,,2024-11-18T09:36:06+0300,Autodata,"...что такое тест планы, чек листы и протокол тестирования, свободно владеть ЯП Python, быть приспособленным к монотонной работе (для <highlighttext>тестировщика</highlighttext>).",fullDay,HOURS_8,5/2,"Программист, разработчик",Нет опыта,full
QA Инженер,Алматы,,,,2024-12-16T14:55:43+0300,XCloud Labs LTD,Ранее работали <highlighttext>специалистом</highlighttext> <highlighttext>по</highlighttext> <highlighttext>тестированию</highlighttext> IT-продуктов или системным аналитиком в IT от 1 года. Вам знакомы слова ADB/Console...,remote,HOURS_8,5/2,Тестировщик,От 1 года до 3 лет,full
Junior Analyst (Младший аналитик),Астана,,,,2024-12-16T09:17:12+0300,Оптимакрос,"Понимание многомерных моделей данных (сводные таблицы в Excel, Power Query). Желание развить в себе аналитические способности и получить отраслевой опыт...",remote,HOURS_8,5/2,Аналитик,От 1 года до 3 лет,full
Middle/Senior Android developer (in Uzbekistan),Алматы,,,,2024-12-16T16:59:01+0300,PAYME,"Java (Android SDK), Kotlin, Git (gitflow), Gradle, Android Studio, RxJava, Dagger 2. Опыт серьезных коммерческих приложений под Android от 3...",fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Тестировщик,Астана,150000.0,,KZT,2024-12-04T14:19:58+0300,Networks Energy,имеешь опыт работы в сфере QA (минимум год). - знаешь теорию и методики тестирования ПО. - знаешь процесс разработки ПО на практике. - ,fullDay,HOURS_8,5/2,Тестировщик,От 1 года до 3 лет,full
Manual QA инженер (стажер),Алматы,,,,2024-12-10T13:40:34+0300,oitech,"Желательно прохождение курсов по QA. Опыт участия в крупных IT проектах будет вашим преимуществом. Приветствуется наличие опыта прохождения стажировок, других...",fullDay,HOURS_8,5/2,Тестировщик,Нет опыта,full
Мануальный тестировщик (middle),Алматы,,,,2024-11-19T09:41:23+0300,IDOCSKZ,Процессы и управление: O Знание жизненного цикла разработки ПО и роли <highlighttext>тестировщика</highlighttext> в нем. O Умение декомпозировать задачи и оценивать...,fullDay,HOURS_8,5/2,Тестировщик,От 1 года до 3 лет,full
Стажер - тестировщик (IT),Алматы,100000.0,120000.0,KZT,2024-12-04T10:20:43+0300,Макенов Е.Е.,"Знание базовых принципов тестирования. * Высшее техническое образование. * Понимание принципов разработки ПО. Конкурентным преимуществом будет: * Общее представление о Web-технологиях, интеграционных...",fullDay,HOURS_8,5/2,Другое,Нет опыта,full
Middle QA Engineer,Алматы,,,,2024-12-10T13:02:00+0300,Ре-Сим,Умение работать в команде. Опыт в тестировании API. Опыт в тестировании мобильных и веб-приложений. Знание баг-трекинговых систем. ,remote,HOURS_8,5/2,Тестировщик,От 3 до 6 лет,full
Middle QA Engineer,Астана,,,,2024-12-10T13:02:00+0300,Ре-Сим,Умение работать в команде. Опыт в тестировании API. Опыт в тестировании мобильных и веб-приложений. Знание баг-трекинговых систем. ,remote,HOURS_8,5/2,Тестировщик,От 3 до 6 лет,full
Тестировщик по Мобильным Приложениям,Алматы,100000.0,500000.0,KZT,2024-12-15T17:37:53+0300,Hyper Development,"Ожидаемый опыт: Опыт работы в области тестирования или разработки ПО. Знания Postman, Linux, bash, Docker, git. Знания в HTML, CSS...",remote,HOURS_8,5/2,Тестировщик,От 1 года до 3 лет,part
Тестировщик ПО (стажер),Астана,,,,2024-12-09T12:02:05+0300,Талисман качества,Английский на уровне B1 или выше. Отправь свое резюме на английском языке с указанием местоположения и уровня владения английским.,fullDay,HOURS_8,5/2,Тестировщик,Нет опыта,full
Project менеджер мобильного приложения,Алматы,,,,2024-12-04T11:21:20+0300,Rocket Pharm,Опыт работы проектным менеджером в IT от 2 лет. Успешный опыт управления мобильными приложениями (Flutter — будет плюсом). Знание гибких методологий...,fullDay,HOURS_8,5/2,Менеджер продукта,От 1 года до 3 лет,full
Тестировщик ПО (стажер),Алматы,,,,2024-12-09T12:03:14+0300,Талисман качества,Английский на уровне B1 или выше. Отправь свое резюме на английском языке с указанием местоположения и уровня владения английским.,fullDay,HOURS_8,5/2,Тестировщик,Нет опыта,full
Тестировщик,Астана,,270000.0,KZT,2024-11-19T16:06:04+0300,Национальные информационные технологии,Способность изучать и анализировать требования продукта. Умение работать с нормативно-правовыми актами государственных услуг в рамках тестирования.,fullDay,HOURS_8,5/2,Тестировщик,От 1 года до 3 лет,full
QA Engineer,Астана,,,,2024-12-06T08:56:15+0300,Adamant Systems,"Опыт ручного тестирования веб-приложений. - Понимание основ работы веб-технологий (HTML, CSS, JavaScript, Java). Тестирование Интеграций: - Понимание принципов интеграции систем...",fullDay,HOURS_8,5/2,Тестировщик,От 1 года до 3 лет,full
Тестировщик (middle),Алматы,,,,2024-11-28T09:34:00+0300,ProsperPay,Опыт работы 1-3 года. - Высшее образование техническое/экономическое. - Знание процессов тестирования и разработки ПО. - Умение работать с системами ведения...,fullDay,HOURS_8,5/2,Тестировщик,От 1 года до 3 лет,full
Mid-level QA Engineer (Web),Алматы,,,,2024-12-10T12:56:07+0300,Queen Interactive Games Ltd,Обязательное условие опыт работы в индустрии iGaming. Понимание процессов разработки и тестирования. Владение техниками тест-дизайна и умение их применять. ,remote,HOURS_8,5/2,Тестировщик,От 3 до 6 лет,full
Mid-level QA Engineer (Web),Астана,,,,2024-12-10T12:56:07+0300,Queen Interactive Games Ltd,Обязательное условие опыт работы в индустрии iGaming. Понимание процессов разработки и тестирования. Владение техниками тест-дизайна и умение их применять. ,remote,HOURS_8,5/2,Тестировщик,От 3 до 6 лет,full
Тестировщик (middle),Алматы,,,,2024-12-13T10:03:22+0300,Prime Source,"Уверенные знания и опыт работы с Git, CI/CD, SQL, Charles Proxy/Proxyman, Postman, Xcode, Android Studio, Jira, Confluence. ",fullDay,HOURS_8,5/2,Тестировщик,От 1 года до 3 лет,full
Тестировщик,Астана,500000.0,800000.0,KZT,2024-12-05T12:38:11+0300,KKS Digital,"Опыт работы с CI/CD (Jenkins). Опыт тестирования мобильных приложений. Знание языков программирования (Python, Java, JavaScript) для автоматизации тестирования.",fullDay,HOURS_8,5/2,Тестировщик,От 3 до 6 лет,full
Тестировщик / QA engineer strong junior,Алматы,250000.0,300000.0,KZT,2024-11-25T12:55:20+0300,Yoko.io,"Опыт работы в платформах JIRA , Trello или подобных системах багтрекинга и платформах тестирования систем. Умение составления тест плана, тест кейсов...",fullDay,HOURS_8,5/2,Тестировщик,От 1 года до 3 лет,full
Руководитель проектов,Алматы,500000.0,500000.0,KZT,2024-11-26T08:38:14+0300,Bass-Technology,"Высшее образование в области информационных технологий, менеджмента или смежных областях (желательно). Опыт работы на аналогичной должности от 2 лет, предпочтительно...",remote,HOURS_8,3/3,Руководитель проектов,От 1 года до 3 лет,full
Тестировщик-автоматизатор (QA),Астана,,,,2024-12-02T09:59:22+0300,Yurt Tech,"Опыт работы с основными методами тестирования (функциональное, регрессионное, нагрузочное тестирование). Понимание процессов разработки ПО и жизненного цикла багов. ",fullDay,HOURS_8,5/2,Тестировщик,От 3 до 6 лет,part
Middle QA Engineer,Алматы,,,,2024-11-18T14:43:08+0300,Ре-Сим,Умение работать в команде. Опыт в тестировании API. Опыт в тестировании desktop-приложений. Знание баг-трекинговых систем. Умение четко и...,remote,HOURS_8,5/2,Тестировщик,От 3 до 6 лет,full
Project manager,Астана,,,,2024-12-15T11:31:40+0300,DauInvest,"Опыт управления проектами в области разработки ПО (управление пакетом проектов). Навыки ведения крупных проектов, включая работу с большими командами и...",fullDay,HOURS_8,5/2,Руководитель проектов,От 3 до 6 лет,full
Технический архитектор,Астана,1000000.0,,KZT,2024-12-11T13:30:06+0300,Networks Energy,"Навыки работы с различными командами (разработчики, <highlighttext>тестировщики</highlighttext>, аналитики). - Умение управлять рисками и прогнозировать возможные проблемы в архитектуре. Личностные качества: Коммуникабельность...",fullDay,HOURS_8,5/2,Директор по информационным технологиям (CIO),Более 6 лет,full
Java Sustaining Engineer (Java FX),Алматы,,,,2024-12-12T11:14:12+0300,БЭЛЛ ЛАБС (BELLSOFT),Relevant work experience as Java developer or <highlighttext>QA</highlighttext> <highlighttext>Engineer</highlighttext> or Sustaining Engineer or UI Developer. 2+ years of Java...,fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
QA тестировщик,Алматы,,300000.0,KZT,2024-12-17T16:30:37+0300,MAK IT,Знание основных методологий тестирования. Опыт работы с автоматизированным тестированием. Опыт работы с инструментами автоматизации тестирования. Знание SQL. Понимание принципов работы...,fullDay,HOURS_3,5/2,Тестировщик,От 1 года до 3 лет,part
QA-инженер,Караганда,,,,2024-11-28T08:14:26+0300,WOOPPAY,"Инструментами тестирования API: postman/SoapUI. Основами обеспечения качества. Инструментами тестирования front-end: DevTools, command line. SQL: команды, операторы. ",fullDay,HOURS_8,5/2,Тестировщик,От 1 года до 3 лет,full
Специалист по сертификации,Астана,,,,2024-11-21T10:54:06+0300,Центр анализа и расследования кибер атак,"Опыт сертификации продукции, желательно электронных устройств, в Республике Казахстан и/или других странах. Знание процессов сертификации и нормативных требований (СКЗИ...",remote,FLEXIBLE,5/2,Специалист по сертификации,От 1 года до 3 лет,part
Tech Lead,Алматы,,,,2024-12-17T15:30:28+0300,Частная компания Snoonu Technologies Ltd.,5+ years of experience in a similar field. Excellent .NET Core knowledge (we are using Net Core 8). ,remote,HOURS_8,5/2,"Программист, разработчик",Более 6 лет,full
Системный аналитик / System Analyst,Астана,400000.0,,KZT,2024-12-05T08:05:33+0300,Hard Code,"Системное аналитическое мышление. Умение управлять требованиями к ПО(Вигерс, BABOK). Знание SOAP и REST API. Умение работать с БД и...",fullDay,HOURS_8,5/2,Системный аналитик,От 1 года до 3 лет,full
Тестировщик,Алматы,,,,2024-11-20T09:58:03+0300,"Beeline, ТМ",Знание теории и методик тестирования. Знание и опыт работы с техниками тест-дизайна (Test Design Technics). Понимание процессов разработки и...,fullDay,HOURS_8,5/2,Тестировщик,От 1 года до 3 лет,full
Системный аналитик,Алматы,,,,2024-11-26T14:06:09+0300,BTS Digital,Высшее техническое образование в области компьютерных наук или смежных областях. Опыт работы в роли системного аналитика не менее 2 лет. ,remote,HOURS_8,5/2,Системный аналитик,От 1 года до 3 лет,full
QA Engineer (тестировщик ПО),Алматы,,,,2024-12-17T07:44:19+0300,"ALSECO, АО","Опыт работы с основными методами тестирования (функциональное, регрессионное, нагрузочное тестирование). Опыт ручного тестирования веб- и мобильных приложений. Понимание процессов разработки...",fullDay,HOURS_8,5/2,Тестировщик,От 1 года до 3 лет,full
Middle Analyst (Аналитик),Астана,,,,2024-12-16T09:17:51+0300,Оптимакрос,"Высшее образование по математическим, экономическим или техническим специальностям. Опыт моделирования в MS Excel. Понимание многомерных моделей данных (сводные таблицы в...",remote,HOURS_8,5/2,Аналитик,От 1 года до 3 лет,full
Lead Unity QA Engineer,Алматы,,,,2024-12-17T15:49:00+0300,Sinomi Games,Навыки управления командой QA (опыт в роли лида или старшего <highlighttext>тестировщика</highlighttext>). Умение анализировать и оптимизировать процессы тестирования. Хорошие коммуникативные навыки...,fullDay,HOURS_8,5/2,Тестировщик,От 1 года до 3 лет,full
QA Engineer,Алматы,,,,2024-12-04T15:39:42+0300,Ракетная фирма,"Опыт работы с СУБД (любой, например Postgre SQL). Знание SQL на уровне написания среднего уровня запросов (способность получить любые сведения...",fullDay,HOURS_8,5/2,Тестировщик,От 3 до 6 лет,full
Middle QA Engineer,Астана,,,,2024-11-18T14:43:08+0300,Ре-Сим,Умение работать в команде. Опыт в тестировании API. Опыт в тестировании desktop-приложений. Знание баг-трекинговых систем. Умение четко и...,remote,HOURS_8,5/2,Тестировщик,От 3 до 6 лет,full
QA Engineer,Алматы,,,,2024-11-25T13:22:47+0300,Region LLC,"Опыт работы в сфере тестирования от 2х лет. Уверенное знание методологий, инструментов тестирования и способов их применения. ",fullDay,HOURS_8,5/2,Тестировщик,От 1 года до 3 лет,full
QA инженер,Алматы,,700000.0,KZT,2024-11-18T08:54:49+0300,JMart,"Знание техник тест-дизайна. -Баг-трекинговых систем: Jira, YouTrack, и т.п. -Понимание TCP, HTTP/HTTPS, REST, SOAP. -",fullDay,HOURS_8,5/2,Тестировщик,От 1 года до 3 лет,full
QA Mobile,Астана,,,,2024-11-21T11:32:51+0300,КПЕ Центр разработки (Казахстан),Опыт работы <highlighttext>QA</highlighttext>-<highlighttext>инженером</highlighttext> (мобильные приложения) от 2х лет. - Умение тестировать и документировать. - Базовые знания СУБД и SQL. - ,fullDay,HOURS_8,5/2,Тестировщик,От 3 до 6 лет,full
Инженер отдела контроля качества/тестировщик,Алматы,150000.0,,KZT,2024-11-19T16:20:57+0300,Фромтек,"Необходимые навыки: - ЗНАНИЕ РУССКОГО/КАЗАХСКОГО ЯЗЫКОВ ОБЯЗАТЕЛЬНО (если вы не владеете одним из языков, указанном в критерии, просьба - не беспокоить...",fullDay,HOURS_8,5/2,Инженер по качеству,От 1 года до 3 лет,full
Web QA Engineer,Алматы,750000.0,1300000.0,KZT,2024-11-28T11:45:14+0300,Kolesa (АО Колеса),Уверенное знание теории тестирования и опыт применения знаний на практике. Практический опыт применения техник тест-дизайна. Опыт тестирования web приложений...,fullDay,HOURS_8,5/2,"Программист, разработчик",От 1 года до 3 лет,full
Middle QA Engineer,Астана,,,,2024-12-17T15:22:14+0300,Талисман качества,Apply Black/White/Gray Box QA techniques. English level at least B2. Odoo CRM experience. Understanding of software development...,fullDay,HOURS_8,5/2,Тестировщик,От 1 года до 3 лет,full
QA Engineer (Middle),Алматы,400000.0,,KZT,2024-12-16T10:56:24+0300,Ticketon Events,"Опыт работы с основными методами тестирования (функциональное, регрессионное, нагрузочное тестирование). Понимание процессов разработки ПО и жизненного цикла багов. ",fullDay,HOURS_8,5/2,Тестировщик,От 1 года до 3 лет,full
Тестировщик,Талдыкорган,,,,2024-12-17T08:20:59+0300,Частная компания “Automated Communication Solutions Ltd.”,Внимательны к деталям и умеете точно следовать инструкциям! Сильные коммуникативные навыки для эффективного сотрудничества с членами команды! Никакого предварительного профессионального...,fullDay,HOURS_8,5/2,Тестировщик,Нет опыта,full
IT-рекрутер,Алматы,,,,2024-11-29T14:42:30+0300,Globerce Inc.,Какие навыки нужны? Знание IT-рынка и опыт в IT рекрутинге обязателен*. Навыки сорсинга. Коммуникабельность. Навыки интервьюирования. Организованность. ,fullDay,HOURS_8,5/2,Специалист по подбору персонала,Нет опыта,full
QA Engineer,Астана,,,,2024-12-03T13:55:29+0300,Andersen,Experience as a <highlighttext>QA</highlighttext> <highlighttext>Engineer</highlighttext> for 2+ years. Experience in back-end and front-end testing. Experience with SQL...,fullDay,HOURS_8,5/2,Тестировщик,От 1 года до 3 лет,full
Middle+/Senior Android developer,Алматы,,,,2024-12-16T15:14:15+0300,red_mad_robot,"Не менее 4-х лет опыта коммерческой разработки под Android. Глубокое знание Kotlin и платформы Android. Владение Kotlin Coroutines, Flow. ",fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
IOS-разработчик,Астана,,,,2024-11-20T18:13:54+0300,red_mad_robot,"Знание Swift 5. Знание AutoLayout. Базовое понимание принципов работы с многопоточностью – GCD/Operation/NSLock. Понимание архитектур SOA, MVVM, MVP, VIPER...",fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
HR специалист,Астана,300000.0,,KZT,2024-11-18T07:51:34+0300,TEQ World,"Понимание специфики IT-индустрии, включая особенности найма разработчиков, аналитиков, <highlighttext>тестировщиков</highlighttext> и др. Опыт работы с небольшими коллективами: Понимание специфики работы...",fullDay,HOURS_8,5/2,Менеджер по персоналу,От 1 года до 3 лет,full
Senior QA Engineer,Алматы,800000.0,,KZT,2024-12-15T13:45:30+0300,IT Space Apps,"1)Навыки управления ресурсами: должен уметь эффективно планировать и распределять задачи среди QA команды, обеспечивая максимальную продуктивность и избегая перегрузок. ",fullDay,HOURS_8,5/2,Тестировщик,От 3 до 6 лет,full
Тестировщик связи,Алматы,150000.0,250000.0,KZT,2024-12-17T09:31:38+0300,Частная компания “Automated Communication Solutions Ltd.”,"Улучшением разговорных способностей роботов, обучив их эффективно понимать запросы пользователей и отвечать на них. Требования: Уметь работать с базами данных. ",fullDay,HOURS_8,5/2,Тестировщик,Нет опыта,full
QA engineer middle (Инженер по тестированию),Алматы,,500000.0,KZT,2024-12-16T15:59:13+0300,Faceplate,"Опыт работы в области тестирования или разработки ПО. Знания ci/cd. Знания Postman, Linux, bash, Docker, git. Знания в HTML...",fullDay,HOURS_8,5/2,Тестировщик,От 3 до 6 лет,full
Тестировщик Middle\Middle+ (SAP Hybris),Алматы,,,,2024-11-28T13:13:22+0300,MASTERDATA,"Уверенные знания теории тестирования, методологий разработки ПО. Знание основ Hybris. Умение писать и выполнять тест-кейсы. Навыки работы с баг...",fullDay,HOURS_8,5/2,Методолог,От 1 года до 3 лет,full
Junior Automation QA Engineer (Java),Алматы,,,,2024-11-26T18:57:52+0300,Andersen,Must-haves: - Commercial development experience as a <highlighttext>QA</highlighttext> Automation <highlighttext>Engineer</highlighttext> (Java) for 6+ months. - Knowledge of automation testing. - ,fullDay,HOURS_8,5/2,Тестировщик,Нет опыта,full
Радиомонтажник РЭА и приборов,Алматы,,200000.0,KZT,2024-11-22T10:13:56+0300,Орион Система,Уверенный пользователь ПК. Ответственность. Усидчивость. Аккуратность.,fullDay,HOURS_8,5/2,"Сервисный инженер, инженер-механик",От 1 года до 3 лет,full
QA Middle Manual Engineer,Алматы,,,,2024-12-16T15:42:16+0300,SUCCESS INITIATIVE GROUP(SIG),"Опыт работы в QA от 2 года. Умение работать с системами ведения проекта (JIRA, TFS, YouTrack и др.) и тест...",fullDay,HOURS_8,5/2,Тестировщик,От 3 до 6 лет,full
Инженер-программист,Алматы,380000.0,800000.0,KZT,2024-12-17T11:52:13+0300,АЛМАТЫЭНЕРГОСЕРВИС,Требования: Опыт программирования на языке Visual scripting и UE4 C++ не менее 2-х лет. Codereview. Знание программ C...,fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Senior QA Automation Engineer (Cypress / JavaScript),Астана,,,,2024-11-29T12:47:38+0300,DIGITAL TEAM (ДИДЖИТЛ ТИМ),"5+ years of experience as a QAa engineer. - Proficiency in JavaScript, Cypress. - Strong knowledge of QA basics, especially API...",remote,HOURS_8,5/2,Тестировщик,Более 6 лет,full
Middle QA Automation Engineer,Алматы,,,,2024-12-12T08:43:54+0300,Ре-Сим,Опыт работы в сфере автоматизации тестирования от 3 лет. Опыт работы с одним из языков программирования Java/Kotlin. ,remote,HOURS_8,5/2,Тестировщик,От 3 до 6 лет,full
Java Back-end Developer,Алматы,700000.0,,KZT,2024-11-28T07:55:22+0300,UCO,Дружная команда cертифицированных профессионалов с опытом (Обмен знаниями). Получение опыта на реальных проектах.,fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Middle QA Automation Engineer,Астана,,,,2024-12-12T08:43:12+0300,Ре-Сим,Опыт работы в сфере автоматизации тестирования от 3 лет. Опыт работы с одним из языков программирования Java/Kotlin. ,remote,HOURS_8,5/2,Тестировщик,От 3 до 6 лет,full
Разработчик БД MS SQL Server,Алматы,,,,2024-12-17T07:43:56+0300,"ALSECO, АО",Профильное высшее образование. Самоорганизованность и самодисциплину. Знание теории реляционных баз данных. Знание и опыт разработки на T-SQL. ,fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
QA инженер (manual+auto),Астана,,,,2024-11-22T15:02:50+0300,TargetAI Limited,"Четкое понимание принципов работы веб-приложений. Опыт функционального тестирования веб-приложений и API. Знание сетевых протоколов (TCP/UDP/IP, HTTP...",fullDay,HOURS_8,5/2,Тестировщик,От 3 до 6 лет,full
Middle QA Automation Engineer,Астана,,,,2024-12-16T14:26:25+0300,Талисман качества,"English level: Intermediate +. - Strong experience with C#. - Knowledge of SQL and API Fundamentals (HTTP methods, statuses, request/response structure). - ",fullDay,HOURS_8,5/2,Тестировщик,От 3 до 6 лет,full
Junior QA Automation Engineer (Python),Алматы,,,,2024-11-26T14:15:03+0300,Andersen,Experience as a <highlighttext>QA</highlighttext> Automation <highlighttext>Engineer</highlighttext> for 1+ years. Knowledge of all stages of automation setup and test integration...,fullDay,HOURS_8,5/2,Тестировщик,От 1 года до 3 лет,full
Менеджер по продажам ИТ продуктов,Алматы,,,,2024-12-09T11:49:27+0300,RedLab,"Практический опыт: Опыт 3-5 лет в сфере продаж IT-продуктов (технологические стартапы, enterprise продукты, продукты для команд разработки, продажи...",remote,HOURS_8,5/2,Руководитель отдела продаж,Более 6 лет,full
Проектный менеджер,Алматы,400000.0,450000.0,KZT,2024-12-16T12:17:43+0300,RNM KZ,"Базовое понимание backend/frontend разработки (что такое backend, что такое frontend, их различия и взаимодействие). Способность глубоко погружаться в детали...",fullDay,HOURS_8,5/2,Руководитель группы разработки,От 1 года до 3 лет,full
Java-разработчик Middle+,Алматы,800000.0,1000000.0,KZT,2024-12-15T08:16:55+0300,TRUE IT,"Опыт работы с Java 8+ от 3-х лет. Отличное знание Java, Spring Boot/Cloud. Хорошее понимание SQL и...",fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Mobile/Web QA Automation engineer (Middle / Senior),Алматы,,,,2024-11-27T10:53:52+0300,"Beeline, ТМ","Интерес к разработке программного обеспечения, автоматизации, мануальному тестированию, процессам улучшения качества разработки/тестированию цифровых продуктов. Возможность быстрого и полного решения...",fullDay,HOURS_8,5/2,Тестировщик,От 3 до 6 лет,full
Team Lead .NET developer (С#),Астана,1200000.0,1500000.0,KZT,2024-12-09T13:28:54+0300,Inter Solutions,"Навыки коммуникации с членами команды, включая разработчиков разных стеков, <highlighttext>тестировщиков</highlighttext>, бизнес и системных аналитиков, тех.поддержки. Готовность взаимодействовать с другими отделами. ",fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
QA Engineer,Алматы,,,,2024-12-16T11:30:03+0300,Неткрэкер Текнолоджи Казахстан,"English on high level to write and communicate with team & Customer. Communicative, active, customer-facing. Understanding or experience with any...",fullDay,HOURS_8,5/2,Другое,От 1 года до 3 лет,full
"DevOps engineer / Middle+, Senior",Алматы,800000.0,1300000.0,KZT,2024-12-17T11:32:16+0300,TRUE IT,Экспертные знания Kubernetes/OpenShift и практический опыт работы с промышленными системами. Опыт администрирования различных семейств ОС Linux. Опыт конфигурирования и...,fullDay,HOURS_8,5/2,DevOps-инженер,От 3 до 6 лет,full
QA Engineer,Алматы,,,,2024-12-02T18:34:56+0300,Andersen,Must-haves: - Experience as a <highlighttext>QA</highlighttext> <highlighttext>Engineer</highlighttext> for 2+ years. - Experience in back-end and front-end testing. - ,fullDay,HOURS_8,5/2,Тестировщик,От 1 года до 3 лет,full
Senior QA Engineer,Алматы,,,,2024-12-16T09:42:52+0300,Payments Lab,"Опыт работы на позиции <highlighttext>QA</highlighttext> <highlighttext>инженера</highlighttext> от 4 лет, с доказанными навыками в. Разработке и выполнении стратегий тестирования. ",fullDay,HOURS_8,5/2,Тестировщик,От 3 до 6 лет,full
Oracle Developer,Алматы,,,,2024-12-15T14:42:40+0300,Неткрэкер Текнолоджи Казахстан,"Contribute to best practices and internal knowledge base. Experience: 5+ years. Good Knowledge of Oracle SQL, PL-SQL. ",flexible,HOURS_8,Свободный,"BI-аналитик, аналитик данных",От 3 до 6 лет,full
Senior Fullstack QA/QA Automation Engineer (Python),Алматы,,,,2024-11-20T10:56:33+0300,ECPK IT,"Знание жизненного цикла разработки ПО (SDLC, STLC). Умение работать в консоли linux на уровне пользователя (операции с файлами, поиск, запуск...",fullDay,HOURS_8,5/2,Тестировщик,От 3 до 6 лет,full
QA Test Automation Engineer,Алматы,,,,2024-12-16T13:18:17+0300,Неткрэкер Текнолоджи Казахстан,"Skills: Experience in programming. Java SE basics. Basic SQL (SQL operators, syntax and data types), xml. Understanding of debug technics. ",fullDay,HOURS_8,5/2,Тестировщик,От 1 года до 3 лет,full
Менеджер по развитию бизнеса,Алматы,,,,2024-12-16T11:14:18+0300,Оптимакрос,Высшее образование (желательно в сфере финансов или маркетинга). Опыт работы в продажах B2B в IT-сфере от 2...,remote,HOURS_8,5/2,"Менеджер по продажам, менеджер по работе с клиентами",От 1 года до 3 лет,full
System Integration Engineer,Алматы,,,,2024-11-18T08:53:47+0300,Неткрэкер Текнолоджи Казахстан,"Collaboration: Ability to collaborate with cross-functional teams, including developers, business analysts and <highlighttext>testers</highlighttext>. Mentoring: Willingness to mentor and guide...",fullDay,HOURS_8,5/2,Системный инженер,От 3 до 6 лет,full
Senior Java Full Stack Engineer,Алматы,,,,2024-11-26T15:40:49+0300,"Epam Kazakhstan (Эпам Казахстан),ТОО","Strong background with Angular 13+. Solid experience in Java Core, Spring and Spring Boot. Deep understanding of web development...",fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Lead QA Engineer (Clockmaker),Астана,,,,2024-12-05T15:54:39+0300,Belka Games CY LTD,3+ years of experience in a similar position in the game development sphere. Experience leading a QA team with...,fullDay,HOURS_8,5/2,Тестировщик,Более 6 лет,full
Менеджер по релизам,Алматы,,,,2024-12-15T13:18:21+0300,Неткрэкер Текнолоджи Казахстан,"Опыт работы от 3 лет на должности разработчика, технического менеджера или <highlighttext>тестировщика</highlighttext>. Опыт управления проектами или командами в области разработки...",fullDay,HOURS_8,5/2,Менеджер продукта,От 3 до 6 лет,full
Senior Java Full Stack Engineer,Астана,,,,2024-11-26T15:41:12+0300,"Epam Kazakhstan (Эпам Казахстан),ТОО","Strong background with Angular 13+. Solid experience in Java Core, Spring and Spring Boot. Deep understanding of web development...",fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Senior QA Engineer,Алматы,,,,2024-12-16T11:29:58+0300,Неткрэкер Текнолоджи Казахстан,Higher Technical education.  Minimum 3 year experience as a SQA engineer.  Initiative.  Interest in self-development.  Striving for analytical work.  ,fullDay,HOURS_8,5/2,Тестировщик,От 3 до 6 лет,full
QA Automation Engineer (Java),Алматы,,,,2024-11-26T17:24:43+0300,Andersen,Commercial experience as a <highlighttext>QA</highlighttext> Automation <highlighttext>Engineer</highlighttext> (Java) for 3+ years. Commercial experience with Jenkins for 1+ year. ,fullDay,HOURS_8,5/2,Тестировщик,От 3 до 6 лет,full
QA Lead Test Automation Engineer,Алматы,,,,2024-12-16T13:23:42+0300,Неткрэкер Текнолоджи Казахстан,Higher Technical education. Minimum 3 year experience on test automation. Initiative. Interest in self-development. Knowledge on End-to-end...,fullDay,HOURS_8,5/2,Тестировщик,От 3 до 6 лет,full
